ABCB11,0.27, Yes, 27.40
ABCC10,0.26, Yes, 32.60
ABLIM1,0.26, Yes, 13.80
ACAT1,0.22, Yes, 22.90
ACBD4,0.17, Yes, 12.50
ACOT7,0.23, Yes, 16.00
ACOT9,0.22, Yes, 19.20
ACSL6,0.31, Yes, 23.50
ACTA1,0.13, Yes, 19.80
ACTL7A,0.16, Yes, 18.40
ACTR6,0.17, Yes, 17.30
ADAM19,0.22, Yes, 32.10
ADAM7,0.28, Yes, 37.30
ADAMTS2,0.22, Yes, 32.20
ADARB2,0.17, Yes, 18.60
ADCY3,0.31, Yes, 30.50
ADGRE4P,0.29, Yes, 30.60
ADORA1,0.18, Yes, 30.00
AFM,0.23, Yes, 25.70
AGBL3,0.16, Yes, 24.50
AGFG1,0.23, Yes, 18.70
AHNAK,0.26, Yes, 11.90
AHSG,0.34, Yes, 26.70
AIP,0.25, Yes, 15.90
AK6,0.12, Yes, 16.50
AKAP3,0.25, Yes, 29.40
AKT3,0.33, Yes, 14.10
ALDH9A1,0.15, Yes, 19.80
ALG9,0.50, Yes, 30.40
ALOXE3,0.24, Yes, 19.80
ALX3,0.20, Yes, 14.30
AMOTL2,0.14, Yes, 16.00
ANAPC2,0.25, Yes, 22.60
ANHX,0.42, Yes, 19.40
ANKMY2,0.18, Yes, 16.50
ANKRD13B,0.23, Yes, 17.40
ANKRD39,0.21, Yes, 11.10
ANKS4B,0.27, Yes, 17.00
AP2M1,0.20, Yes, 16.70
APBA2,0.56, Yes, 21.00
APEX2,0.21, Yes, 17.90
APOBEC3G,0.21, Yes, 19.30
APOBEC4,0.26, Yes, 24.00
APOD,0.38, Yes, 27.00
AQP11,0.39, Yes, 27.60
ARAP1,0.18, Yes, 21.90
ARFGEF1,0.27, Yes, 22.70
ARFIP2,0.22, Yes, 19.50
ARHGAP24,0.19, Yes, 15.20
ARHGDIA,0.26, Yes, 22.60
ARHGEF7,0.20, Yes, 20.90
ARID3A,0.31, Yes, 22.50
ARL4A,0.22, Yes, 21.20
ARMC9,0.26, Yes, 22.70
ARSG,0.22, Yes, 20.80
ASB12,0.15, Yes, 19.40
ASCL3,0.16, Yes, 8.60
ASMT,0.30, Yes, 22.10
ASTN2,0.21, Yes, 33.30
ATAD3C,0.20, Yes, 22.30
ATG7,0.22, Yes, 23.50
ATOX1,0.22, Yes, 9.50
ATP1A4,0.37, Yes, 33.00
ATP5C1,0.19, Yes, 22.40
ATP5L2,0.09, Yes, 14.60
ATP6AP1,0.16, Yes, 21.90
ATP6V0A4,0.33, Yes, 30.40
ATP6V0B,0.43, Yes, 29.20
AUP1,0.55, Yes, 32.30
AVPR1A,0.40, Yes, 28.40
AZIN1,0.14, Yes, 22.00
B3GALNT2,0.14, Yes, 27.00
B4GALT1,0.23, Yes, 22.70
BAK1,0.60, Yes, 32.00
BAZ1B,0.23, Yes, 23.90
BCAS1,0.19, Yes, 16.90
BCL9,0.33, Yes, 13.60
BEND6,0.25, Yes, 17.20
BLOC1S4,0.12, Yes, 15.60
BMP2,0.34, Yes, 19.90
BNIPL,0.30, Yes, 21.30
BPIFA2,0.29, Yes, 25.00
BRD2,0.40, Yes, 13.30
BROX,0.19, Yes, 17.30
BTD,0.25, Yes, 22.10
BTN2A2,0.29, Yes, 34.20
C10orf88,0.10, Yes, 21.90
C11orf40,0.19, Yes, 23.00
C11orf87,0.17, Yes, 32.30
C12orf65,0.51, Yes, 14.60
C14orf79,0.15, Yes, 19.80
C15orf57,0.17, Yes, 13.70
C16orf46,0.23, Yes, 17.20
C17orf104,0.15, Yes, 16.40
C17orf75,0.18, Yes, 17.70
C19orf73,0.12, Yes, 18.30
C1D,0.22, Yes, 11.50
C1R,0.20, Yes, 22.10
C1orf137,0.22, Yes, 12.50
C1orf198,0.31, Yes, 16.50
C1orf53,0.35, Yes, 14.90
C1orf61,0.10, Yes, 16.70
C20orf196,0.20, Yes, 13.10
C22orf34,0.26, Yes, 18.90
C2orf47,0.15, Yes, 18.10
C2orf91,0.18, Yes, 17.20
C4orf45,0.20, Yes, 7.10
C5orf17,0.31, Yes, 8.00
C5orf63,0.43, Yes, 14.70
C6orf120,0.20, Yes, 38.00
C6orf229,0.20, Yes, 23.30
C7orf71,0.30, Yes, 19.70
C8orf34,0.29, Yes, 23.10
